feature,rank,statut
LIMIT_BAL,1,confirmée
unpaid_gap_1,1,confirmée
unpaid_gap_2,1,confirmée
unpaid_gap_3,1,confirmée
unpaid_gap_4,1,confirmée
unpaid_gap_5,1,confirmée
delta_pay_1,1,confirmée
delta_pay_2,1,confirmée
delta_pay_3,1,confirmée
avg_pay_ratio,1,confirmée
n_months_paid_full,1,confirmée
total_unpaid_gap,1,confirmée
unpaid_to_limit,1,confirmée
pay_to_limit,1,confirmée
log_avg_bill,1,confirmée
pay_delay_max,1,confirmée
pay_delay_std,1,confirmée
n_months_late,1,confirmée
ever_serious_delay,1,confirmée
recent_vs_past_delay,1,confirmée
pay_delay_last3,1,confirmée
pay_delay_first3,1,confirmée
delay_acceleration,1,confirmée
avg_bill_amt,1,confirmée
avg_pay_amt,1,confirmée
bill_trend,1,confirmée
bill_std,1,confirmée
pay_amt_std,1,confirmée
log_limit,1,confirmée
pay_delay_mean,1,confirmée
paid_full_1,1,confirmée
log_avg_pay,1,confirmée
PAY_AMT1,1,confirmée
BILL_AMT1,1,confirmée
BILL_AMT2,1,confirmée
BILL_AMT3,1,confirmée
BILL_AMT4,1,confirmée
BILL_AMT5,1,confirmée
BILL_AMT6,1,confirmée
pay_ratio_5,1,confirmée
PAY_AMT2,1,confirmée
PAY_AMT3,1,confirmée
PAY_AMT4,1,confirmée
PAY_4,1,confirmée
PAY_3,1,confirmée
PAY_AMT5,1,confirmée
PAY_AMT6,1,confirmée
utilization_rate,1,confirmée
avg_utilization_rate,1,confirmée
max_utilization,1,confirmée
pay_ratio_1,1,confirmée
pay_ratio_2,1,confirmée
pay_ratio_3,1,confirmée
PAY_2,1,confirmée
PAY_1,1,confirmée
pay_ratio_4,1,confirmée
PAY_6,1,confirmée
PAY_5,1,confirmée
paid_full_2,2,rejetée
AGE,3,rejetée
paid_full_3,3,rejetée
paid_full_5,5,rejetée
delta_pay_4,7,rejetée
paid_full_4,7,rejetée
EDUCATION,7,rejetée
delta_pay_5,7,rejetée
MARRIAGE,10,rejetée
SEX,11,rejetée
