model,pr_auc,roc_auc
lgbm_tuned,0.5649974753161224,0.7890928394720983
xgb_tuned,0.5649680639141946,0.7893539839290773
histgb_tuned,0.55773887459001,0.7868996936315529
histgb,0.5568847072878864,0.7847263955154765
catboost,0.5545955424212669,0.7823161642437848
lstm,0.5482353510320149,0.7826903082105214
mlp,0.5478366451194525,0.7831778900602142
gru,0.5476929526484382,0.7830060074562343
xgb_base,0.5453431716210797,0.7735801371753381
rf,0.5390325095532489,0.7710784118744758
logreg,0.5209164736222055,0.7753239404099056
