trial,value,num_leaves,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_samples,reg_lambda,reg_alpha
0,0.526442318544574,65,12,0.1205712628744377,619,0.6624074561769746,0.49359671220172163,16,5.314343038625026,0.16730402817820234
1,0.5145876881941956,111,3,0.2708160864249968,783,0.6849356442713105,0.5090949803242604,30,0.02034955951308026,0.08730885649333642
2,0.5515889493679783,73,5,0.08012737503998542,297,0.7168578594140873,0.619817105976215,60,2.382678038197034,0.005477562363971304
3,0.5629143624434363,84,8,0.011711509955524094,625,0.6682096494749166,0.43903095579116774,115,14.230243744913723,0.9777718780862645
4,0.5497882505659629,56,3,0.1024932221692416,508,0.6488152939379115,0.6971061460667621,13,8.14731157122018,0.009061902594114376
5,0.5456545641931131,105,6,0.05864129169696527,583,0.6739417822102108,0.9817507766587351,96,10.985330528057915,2.0414536703077757
6,0.5585797693898987,96,12,0.01351182947645082,337,0.6180909155642152,0.5951981984579586,53,0.014691979880907806,1.1627201204016835
7,0.5556707954295191,63,5,0.06333268775321843,298,0.9208787923016158,0.44473038620786254,119,2.0962733672452414,0.005433045540798127
8,0.5325420477210919,15,11,0.11069143219393454,711,0.9085081386743783,0.44442679104045424,49,0.0031503318255412553,1.5580940996926465
9,0.56200919869091,99,6,0.012413189635294229,417,0.7300733288106989,0.8377637070028385,80,6.545285853960302,0.05580959150991868
10,0.5641620221275185,99,4,0.015123169217027835,484,0.6691287979704198,0.41787334962053924,85,0.39344869842625,1.248629681028921
11,0.5576040806785806,71,9,0.022818763061378977,402,0.6587788701201768,0.5200583833064462,105,0.7279344788647566,1.1091706215569292
12,0.563260417420902,92,3,0.012245565341557296,633,0.7753882975251223,0.4054545844572315,50,0.9157404371841047,0.8305222733296027
13,0.5578977103085064,89,3,0.0318149727980829,534,0.6026616604170725,0.46999907249661677,112,0.3146686601560057,3.106914250546009
14,0.5621647287139907,88,3,0.014039803051718112,459,0.7671668017741039,0.5606358859611063,77,0.677224211626735,1.5246862195768611
15,0.5629190401843293,97,4,0.017449532014048842,746,0.681264699031721,0.4449339501181028,58,2.115484391032588,2.491557849502977
16,0.5586842192274716,92,3,0.030712683047534082,575,0.7554345288668652,0.47311425747034336,48,0.29504949497037974,0.38916580171545706
17,0.561705900605381,123,3,0.017410109082632654,562,0.8659281648098628,0.41201132771759974,89,0.7527308201773669,2.4662074251022066
18,0.5626077024109613,121,3,0.010435591271287532,519,0.7585607603230986,0.5124017219687976,110,4.833858728283988,0.367333411952797
19,0.5628429171448412,109,3,0.018414992732965083,328,0.6791299266268416,0.42144887653498053,66,2.4147740892665666,1.0034565979523098
20,0.5643044093183727,113,4,0.013634769565215867,328,0.6370714862692389,0.5186176920450453,80,0.009550668894467571,1.0309415488964988
21,0.5628949456025,79,4,0.016935137389752716,214,0.6092451257332133,0.45012101449578296,86,0.047762811364406965,1.6799837073767117
22,0.5632175318464201,110,6,0.01118492197600243,517,0.6213066976437573,0.451675345766642,80,10.579271086488658,0.32131996805910745
23,0.5634929720950921,134,3,0.015251753561669757,334,0.6268238769832414,0.4925114650672027,69,0.07587781133557976,0.4358069684299838
24,0.5622774755428188,125,3,0.013660704447653977,301,0.6811614799462173,0.6092441275862541,81,0.017144550598714843,1.4440821033682307
25,0.5610941689395962,139,4,0.012787384233872377,236,0.6459524251736617,0.4518441906483465,100,0.018748432477594976,3.562803352463609
26,0.5618989949010985,140,3,0.01884229046297927,385,0.680649133911294,0.5895534680978362,45,0.014832754922163264,1.4652449577417386
27,0.5632931113121732,123,4,0.011236927967708098,403,0.6389808029630624,0.44924691158530655,93,0.12068323770982749,0.5140037409893825
28,0.5636067328102893,121,4,0.011936395704705971,337,0.6020872859193491,0.5537619015500482,64,0.14560814196520444,0.2689337258714541
29,0.5622360796806097,105,6,0.013455050125233086,252,0.6786689307414079,0.5628066548463128,77,0.015383830810359461,0.5455681799592371
