detecteur,contamination,protocole,pr_auc,pr_auc_std,roc_auc,lignes_retirees,ecart_vs_reference
aucun (référence),0.0,—,0.5682099357378172,0.0053113561316453246,0.7892900125286111,0,0.0
isolation_forest,0.01,correct (train seul),0.5674768752874793,0.0056413586603306564,0.7896679709115271,192,-0.0007
isolation_forest,0.05,correct (train seul),0.565408246561409,0.00864952678910532,0.7886917882798229,960,-0.0028
isolation_forest,0.1,correct (train seul),0.5600499930566055,0.011678152937714749,0.7879812713731897,1920,-0.0082
lof,0.01,correct (train seul),0.567892477376118,0.00547219365839638,0.7891322720184899,192,-0.0003
lof,0.05,correct (train seul),0.5671321890287645,0.00617772233295567,0.7884282346378451,960,-0.0011
lof,0.1,correct (train seul),0.5661656760933099,0.005778372490253971,0.7883819724078798,1920,-0.002
dbscan,0.05,correct (train seul),0.5683660191901276,0.006093643274248037,0.7896470363106232,175,0.0002
isolation_forest,0.05,INCORRECT (train + éval),0.5575968441309972,0.011716095169938542,0.7856642679253982,960,-0.0106
isolation_forest,0.1,INCORRECT (train + éval),0.5461705242167019,0.0181741321977856,0.7826461732569092,1920,-0.022
